external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
9346d71e1be636b5,파이썬 기초실습 익히기,국립군산대학교,공학,컴퓨터과학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.77,description_body_clean,alias,true,false,false,1
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,programming,프로그래밍,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,false,4
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,python,Python,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,4
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,,,함수,programming-basic-syntax,3,0.95,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,3
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,,,리스트,data-structures,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,,,반복문,programming-basic-syntax,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,,,조건문,programming-basic-syntax,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.92,title_clean,alias,true,false,true,1
946001105e33e413,프로그래밍을 위한 컴퓨팅적 사고,숙명여자대학교,공학,소프트웨어공학,,,자료형,programming-basic-syntax,3,0.82,description_body_clean,depth3_candidate,false,true,false,2
950abc12e2e19bb6,인터넷과 미래 네트워크 기술,국립군산대학교,공학,컴퓨터공학,networks,네트워크,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias|topic_name,true,false,true,6
950abc12e2e19bb6,인터넷과 미래 네트워크 기술,국립군산대학교,공학,컴퓨터공학,,,인터넷,networks,3,0.95,description_body_clean|title_clean,depth3_candidate,false,true,false,2
950abc12e2e19bb6,인터넷과 미래 네트워크 기술,국립군산대학교,공학,컴퓨터공학,,,OSI 7계층,networks,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
950abc12e2e19bb6,인터넷과 미래 네트워크 기술,국립군산대학교,공학,컴퓨터공학,,,라우팅,networks,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
950abc12e2e19bb6,인터넷과 미래 네트워크 기술,국립군산대학교,공학,컴퓨터공학,,,프로토콜,networks,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
95205bdbe29679bb,머신러닝 기법을 활용한 데이터분석,영남대학교,공학,컴퓨터공학,machine-learning,머신러닝,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,true,4
95205bdbe29679bb,머신러닝 기법을 활용한 데이터분석,영남대학교,공학,컴퓨터공학,,,트리,data-structures,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
95205bdbe29679bb,머신러닝 기법을 활용한 데이터분석,영남대학교,공학,컴퓨터공학,,,회귀,machine-learning,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
9b302bd29db2ee43,생성적 AI 마스터링: 개념에서 응용 프로그램까지,우송대학교,공학,컴퓨터과학,artificial-intelligence,인공지능,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,false,4
9b302bd29db2ee43,생성적 AI 마스터링: 개념에서 응용 프로그램까지,우송대학교,공학,컴퓨터과학,ai-ethics,AI 윤리,,,,0.9,description_keyword_items|description_keywords_raw,alias,true,false,true,2
9ecc93b4bb71fa9b,리눅스 활용,부산외국어대학교,공학,소프트웨어공학,linux,Linux,,,,0.95,description_body_clean|title_clean,alias,true,false,true,2
9ecc93b4bb71fa9b,리눅스 활용,부산외국어대학교,공학,소프트웨어공학,operating-systems,운영체제,,,,0.82,description_body_clean,topic_name,true,false,false,1
9ed482b2d851c2d6,네트워크 보안 기초,영남대학교,공학,컴퓨터공학,networks,네트워크,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,true,4
a42e75a539ec521e,Python프로그래밍,신구대학교,공학,소프트웨어공학,python,Python,,,,1.0,description_body_clean|title_clean,alias|topic_name,true,false,true,2
a42e75a539ec521e,Python프로그래밍,신구대학교,공학,소프트웨어공학,programming,프로그래밍,,,,0.97,title_clean,topic_name,true,false,false,1
a42e75a539ec521e,Python프로그래밍,신구대학교,공학,소프트웨어공학,data-preprocessing,데이터 전처리,,,,0.82,description_body_clean,alias|topic_name,true,false,false,2
ad1e47fe2c385320,클라우드 컴퓨팅의 기초,국립군산대학교,공학,컴퓨터공학,cloud-basics,클라우드 기초,,,,1.0,description_keyword_items|description_keywords_raw|title_clean,alias,true,false,true,3
ad1e47fe2c385320,클라우드 컴퓨팅의 기초,국립군산대학교,공학,컴퓨터공학,artificial-intelligence,인공지능,,,,0.82,description_body_clean,topic_name,true,false,false,1
af1cea2174ee88ea,리눅스실습,신구대학교,공학,소프트웨어공학,linux,Linux,,,,0.95,description_body_clean|title_clean,alias,true,false,true,2
af1cea2174ee88ea,리눅스실습,신구대학교,공학,소프트웨어공학,deployment,배포,,,,0.82,description_body_clean,topic_name,true,false,false,1
