source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,is_target_department,is_target_course
37437,로봇인공지능만들기,전학년,1학기,3.0,전선,"자율주행자동차, 드론, 휴머노이드와 같은 스스로 인지 판단하여 움직이는 자율로봇들이 일상생활에 보급 등장하기 시작했다. 이들 로봇의 등장으로 사고가 나지 않거나 운전면허가 필요 없는 자동차나 사람이 진입이 어려운 핵발전소나 지진 재난 현장에 구조 및 극한 작업을 하는 등 기존에 상상할 수 없었던 분야로 빠르게 응용되고 있다. 더욱이 빅데이터, 기계학습, 인공지능 기술과 결합하며 갈수록 인간스러운 로봇으로 발전하기 시작했고 실제로 여러 분야의 인간 노동력을 대체하기 시작했다. 이들 기술은 이미 데이터화 된 정보를 요약, 추상화 하는 감각기와 두뇌 지능을 넘어, 현재 환경에서 벌어지고 있는 상황 인지와 이에 따르는 움직임을 만들어 내는 근육을 포함하고 있어 복잡도가 매우 높고 관련된 기술이 많은 종합 예술이라 할 수 있다. 수강생들은 본 수업을 통해 자율지능로봇의 구성요소와 최신 기술 동향을 소개받고 내제 동작원리를 이해하는 것을 목표로 한다.",,,,,False,True
37439,IoT·인공지능·빅데이터 개론 및 실습,전학년,2학기,3.0,전선,,,,,,False,True
37440,IoT·인공지능·빅데이터 개론 및 실습,전학년,1학기,3.0,전선,4차산업혁명의 핵심인 IoT 인공지능 빅데이터 기술의 이해IoT 인공지능 빅데이터 분야 핵심 방법론 습득실습을 통한 Handson 경험 함양 및 관련 프로그래밍 기술 체득IoT 인공지능 빅데이터 연구 및 산업화 관련 선수 지식 함양,,,,,False,True
37442,머신러닝을 위한 기초 수학 및 프로그래밍 실습,전학년,1학기,3.0,전선,"머신러닝과 인공지능 분야가 보여주고 있는 놀라운 발전의 근간에는 자연 현상을 수학 문제로 기술한 뒤 수많은 현대 수학의 도구를 이용해서 풀어낸 수학의 틀이 존재한다. 따라서 이같은 수학의 핵심 원리를 모른 채 이미 라이브러리화된 것을 단순하게 사용하여 학습하는 것으로는 한계에 봉착할 수 있다. 본 강의의 목적은 수강생이 머신러닝을 이해하는데 있어 필요한 수학을 프로그래밍과 연계하여 학습하는데 있다. 이를 위해 본 강의는, 수학의 단위 주제 강의 후 즉시 프로그래밍 실습을 통해 익히는 마이크로러닝 방식으로 운영한다. 머신러닝 알고리즘을 직접 다루지 않으나, 대수학, 미적분학, 선형대수, 기하학과 같이 머신러닝 학습 및 강좌에 필수적으로 요구되는 내용을 다루며, 수업에서 사용하는 프로그래밍 언어는 파이썬이다. 본 강의는 이공계 고교 수학 이상의 지식을 갖추고 있으나 프로그래밍 지식을 갖추고 있지 않은 학생을 주 대상으로 한다.",,,,,False,True
37443,사이버 보안과 블록체인 개론 및 실습,전학년,2학기,3.0,전선,/,/,,,,False,True
37490,건설환경통계학,전학년,2학기,3.0,전필,<<Catalog Description>>Identification and modeling of nondeterministic problems in civil and environmental engineering design and decision making. Development of stochastic concepts and simulation models and their relevance to real design and decision problems in various areas of civil and environmental engineering.<<Course Objectives>>The students can describe/use the concepts and methods of probability and statistics that are crucial for solving civil and environmental engineering problems. The students are introduced to a variety of CEE problems through statistical/probabilistic analysis.,Probability Concepts in Engineering: Emphasis on Applications to Civil and Environmental Engineering,,,,False,True
37491,교통계획 및 실험,전학년,1학기,3.0,전선,"본 강의는 도로, 철도, 공항, 항만 등 우리의 삶과 밀접한 관련을 맺고 있는 교통시설의 기본적인 특성과 계획 및 설계에 관한 이론을 다루며, 주요 내용은 다음과 같습니다.  교통시스템의 정의, 개념 및 구성요소 교통경제학 교통수요 예측 기법 경제적, 재무적 타당성 TSM, TDM, 교통분야 최근 이슈",,,,교통공학 및 실험(457.208),False,True
37529,비행체 제어원리,전학년,1학기,3.0,전필,"본 교과목은 항공우주시스템을 해석하고 제어시스템을 설계하기 위한 기본적인 제어원리를 제공한다. 선형시스템을 해석하기 위한 기본원리로 전달함수를 이용한 선형계의 응답특성을 다룬다. 안정성이론으로 RouthHurwitz criterion, Root Locus 해석법, Bode 선도 및 Nyquist plot과 같은 주파수 해석을 다루고 이를 이용한 제어기 설계에 관한 기본사항을 다룬다. 시간영역에서 해석하는 상태공간 해석법을 다루게 되며, 이상과 같은 일반 선형계에 대한 제어이론을 항공기 및 인공위성에 적용, 안정성 해석 및 제어기 설계기법을 학습한다.",Feedback Control of Dynamic Systems,,,"공학수학 1, 2",False,True
37535,비행동역학및제어,전학년,2학기,3.0,전선,"비행동역학 및 제어에 대한 기본 이론에 대하여 학습함으로써 항공기의 동특성을 해석할 수 있는 능력을 확보하고, 이를 바탕으로 비행제어시스템을 설계할 수 있는 능력을 기르는 것을 목표로 한다.",Flight Stability and Automatic Control,,,"공학수학 1, 공학수학 2, 동역학, 비행체제어원리",False,True
37543,항공우주 센서시스템,전학년,2학기,3.0,전선,항공우주센서를 중심으로 하는 센서의 동작원리와 인터페이스에 대한 기본 이론을 학습하고 실험과 프로젝트를 통하여 직접 체험하게 함으로써 다양한 센서를 다양한 시스템에 효율적으로 적용할 수 있는 창의적 설계능력을 기르는 것을 목표로 한다.,,,,,False,True
37557,신호처리,전학년,1학기,3.0,전선,조선해양공학 실험과 각종 해양음향정보 처리에 사용되는 디지털 신호에 대한 기초적인 이론 을 공부하여 이를 바탕으로 실험데이터의 컴퓨터 신호처리와 수중음향신호처리의 실제적인 응용을 다룬다. 추가적으로 본 수업은 MATLAB을 사용한 숙제를 함으로서 MATLAB을 실습하고 익히는 기회로 삼는다. 본 강좌는 조선해양공학과 학생이 아니어도 수강이 가능하다.,"Digital Signal Processing Using MATLAB (A problem solving companion), 4th edition",Neso Academy: (Introduction to) Signals and Systems,,,False,True
37575,조선해양프로젝트,전학년,2학기,3.0,전필,"본 교과목은 학부 전공 교과목에서 학습한 이론들을 종합적으로 활용해 선박 및 해양구조물의 기본 설계를 직접 해 보는 프로젝트 교과목으로서 이론과 실습으로 구성되어 있다. 먼저, 선박 및 해양구조물의 기본 설계를 위한 유체, 구조, 해양 (공정) 및 설계 관련 핵심 이론들을 요약하여 강의하고, 주어진 요구 조건에 대해 학생들은 팀을 이루어 설계 프로젝트를 수행한다. 최종 결과물은 주어진 조건을 만족하는 설계안과 그에 대한 해석 결과를  포함한 발표자료와 보고서를 제출하는 것입니다. 본 강의를 통해 학생들은 선박 및 해양구조물을 직접 설계해 보는 능력을 갖추게 되며 이와 동시에 팀 프로젝트 수행을 통한 협업 방법을 익히도록 한다.",,,,,False,True
37576,조선해양기계학습,전학년,2학기,3.0,전선,"본 강의에서는 통계적 추론에 기반한 기계학습의 기초에 대하여 학습하고 조선해양공학의 응용문제에 대한 프로젝트를 수행한다. 기계학습에 관련된 확률, 선형대수, 최적화의 기초에 대하여 학습한다. 확률에 기반한 최우추정법에 대하여 학습한다. 비지도 학습 분류 방법 및 선형 회귀법에 대하여 학습한다. Hidden Markov 모델과 Bayesian Inference의 개념, 이론 및 알고리즘에 대한 개요를 학습한다. Neural Network에 기반한 학습모델로 이미지 인식을 위한 Convolutional Neural Network, 음성과 같은 time series 데이터의 학습을 위한 Recurrent Neural Network의 개요에 대하여 학습한다. 그리고 보상에 따라 학습하는 Reinforcement Learning에 대하여 익힌다. 마지막으로 조선해양공학 응용의 기계학습 프로젝트를 수행하도록 한다.",단단한 머신러닝,나의 첫 머신러닝/딥러닝 (개정판),,"선형대수, 컴퓨터프로그래밍(파이썬, C++)",False,True
